type,properties.RowID,properties.SRRecordID,properties.ServiceRequestNum,properties.SRType,properties.MethodReceived,properties.CreatedDate,properties.SRStatus,properties.StatusDate,properties.DueDate,properties.CloseDate,properties.Agency,properties.LastActivity,properties.LastActivityDate,properties.Outcome,properties.Address,properties.ZipCode,properties.Neighborhood,properties.CouncilDistrict,properties.PoliceDistrict,properties.PolicePost,properties.Latitude,properties.Longitude,properties.GeoLocation,properties.NeedsSync,properties.IsDeleted,properties.HashedRecord,geometry.type,geometry.coordinates
Feature,2450,500VO00000tedNzYAI,26-00007104,TRS-Parking Complaint,API,2026-01-05T08:57:58Z,Closed,2026-01-22T15:19:00Z,2026-01-06T08:57:58Z,2026-01-22T15:19:00Z,,Service Response,2026-01-22T15:19:00Z,Work completed,"E LANVALE ST & HOLBROOK ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309253710108237,-76.603254993345899,"(39.309253710108237, -76.603254993345899)",1,0,,Point,"[-76.60325499, 39.3092537100001]"
Feature,30676,500VO00000udjEkYAI,26-00045112,TRS-Parking Complaint,API,2026-01-17T10:45:14Z,New,2026-01-17T10:45:25Z,2026-01-18T10:45:14Z,,,Service Response,,,"1008 E LANVALE ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309390564764222,-76.603688502988149,"(39.309390564764222, -76.603688502988149)",1,0,,Point,"[-76.6036885, 39.3093905600001]"
Feature,30979,500VO00000udnyIYAQ,26-00045093,TRT-Sign Damaged/Sign Structure,API,2026-01-17T10:35:06Z,Closed,2026-03-02T05:38:08Z,2026-01-22T10:35:06Z,2026-03-02T05:38:08Z,Transportation                                    ,Service Response,2026-03-02T05:38:08Z,Your issue has been reviewed and is considered closed,"E LANVALE ST & HOLBROOK ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309253710108237,-76.603254993345899,"(39.309253710108237, -76.603254993345899)",1,0,,Point,"[-76.60325499, 39.3092537100001]"
Feature,201303,500VO00000yMe4JYAS,26-00203922,TRS-Parking Complaint,API,2026-02-28T12:48:31Z,New,2026-02-28T12:48:44Z,2026-03-01T12:48:31Z,,,Service Response,,,"1708 HOLBROOK ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309510609494914,-76.603452441466430,"(39.309510609494914, -76.603452441466430)",1,0,,Point,"[-76.60345244, 39.3095106100001]"
Feature,211861,500VO00000ydoIkYAI,26-00213863,SW-Dirty Street,API,2026-03-04T09:01:24Z,Closed,2026-03-13T15:38:00Z,2026-03-13T10:01:24Z,2026-03-13T15:38:00Z,Solid Waste                                       ,Service Response,2026-03-13T15:38:00Z,Work completed,"E LANVALE ST & ENSOR ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309240726761075,-76.603934819297805,"(39.309240726761075, -76.603934819297805)",1,0,,Point,"[-76.6039348199999, 39.3092407300001]"
Feature,370540,500VO000012nJxXYAU,26-00374521,SW-Dirty Street Proactive,Internal,2026-04-23T15:37:55Z,Closed,2026-04-23T15:38:00Z,2026-05-04T15:37:55Z,2026-04-23T15:38:00Z,Solid Waste                                       ,Service Response,2026-04-23T15:38:00Z,Work completed,"1700 HOLBROOK ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309351700285561,-76.603443268162707,"(39.309351700285561, -76.603443268162707)",1,0,,Point,"[-76.60344327, 39.3093517]"
Feature,442513,500VO0000153y9CYAQ,26-00448330,SW-HGW,API,2026-05-14T17:34:58Z,Closed,2026-05-14T17:45:11Z,2026-06-25T17:34:58Z,2026-05-14T17:45:11Z,Solid Waste                                       ,Service Response,2026-05-14T17:45:11Z,Your issue has been reviewed and is considered closed,"1006 E LANVALE ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309389342558035,-76.603732802458183,"(39.309389342558035, -76.603732802458183)",1,0,,Point,"[-76.6037328, 39.3093893400001]"
Feature,442715,500VO0000154aslYAA,26-00448409,SW-HGW,API,2026-05-14T17:54:15Z,Closed,2026-05-14T17:55:59Z,2026-06-25T17:54:15Z,2026-05-14T17:55:59Z,Solid Waste                                       ,Service Response,2026-05-14T17:55:59Z,Your issue has been reviewed and is considered closed,"1700 HOLBROOK ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309351700285561,-76.603443268162707,"(39.309351700285561, -76.603443268162707)",1,0,,Point,"[-76.60344327, 39.3093517]"
Feature,442729,500VO0000154bqPYAQ,26-00448326,SW-HGW,API,2026-05-14T17:34:31Z,Closed,2026-05-14T17:35:19Z,2026-06-25T17:34:31Z,2026-05-14T17:35:19Z,Solid Waste                                       ,Service Response,2026-05-14T17:35:19Z,Your issue has been reviewed and is considered closed,"1002 E LANVALE ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309381173489669,-76.603822309072513,"(39.309381173489669, -76.603822309072513)",1,0,,Point,"[-76.6038223099999, 39.3093811700001]"
Feature,442780,500VO0000154E4GYAU,26-00448328,SW-HGW,API,2026-05-14T17:34:45Z,Closed,2026-05-14T17:40:13Z,2026-06-25T17:34:45Z,2026-05-14T17:40:13Z,Solid Waste                                       ,Service Response,2026-05-14T17:40:13Z,Your issue has been reviewed and is considered closed,"1004 E LANVALE ST, Baltimore City, 21202",21202,Oliver,12,Eastern,322,39.309387778268352,-76.603774301656557,"(39.309387778268352, -76.603774301656557)",1,0,,Point,"[-76.6037742999999, 39.3093877800001]"
